"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","KA1","KA2","MA1","MD1","OC1","OD1","REM","EQD"
"01006099999","2023-02-12T23:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","061,1,N,0091,1","99999,9,9,9","999999,9,9,9","-0052,1","-0079,1","09982,1",,,"99999,9,09966,1","2,1,029,1,+999,9","0125,1","9,99,0108,1,999","SYN004BUFR",
"01006099999","2023-02-14T10:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","136,1,N,0038,1","99999,9,9,9","999999,9,9,9","-0032,1","-0039,1","10051,1","120,M,-0032,1","120,N,-0041,1","99999,9,10035,1","8,1,022,1,+999,9",,"9,99,0038,1,999","SYN004BUFR",
"01006099999","2023-02-14T11:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","131,1,N,0058,1","99999,9,9,9","999999,9,9,9","-0032,1","-0040,1","10039,1","120,M,-0031,1","120,N,-0033,1","99999,9,10023,1","6,1,024,1,+999,9","0069,1","9,99,0058,1,999","SYN004BUFR",
"01006099999","2023-02-14T12:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","119,1,N,0060,1","99999,9,9,9","999999,9,9,9","-0029,1","-0036,1","10032,1","120,M,-0029,1","120,N,-0033,1","99999,9,10016,1","7,1,025,1,+999,9","0071,1","9,99,0063,1,999","SYN004BUFR",
"01006099999","2023-02-14T13:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","115,1,N,0049,1","99999,9,9,9","999999,9,9,9","-0027,1","-0032,1","10019,1","120,M,-0027,1","120,N,-0029,1","99999,9,10003,1","7,1,032,1,+999,9","0073,1","9,99,0066,1,999","SYN004BUFR",
"01006099999","2023-02-14T15:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","133,1,N,0066,1","99999,9,9,9","999999,9,9,9","-0020,1","-0026,1","09979,1","120,M,-0020,1","120,N,-0024,1","99999,9,09964,1","6,1,052,1,+999,9","0084,1","3,99,9999,9,999","SYN004BUFR",
"01006099999","2023-02-14T17:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","161,1,N,0080,1","99999,9,9,9","999999,9,9,9","-0009,1","-0019,1","09936,1","120,M,-0009,1","120,N,-0014,1","99999,9,09920,1","7,1,063,1,+999,9","0099,1","9,99,0095,1,999","SYN004BUFR",
"01006099999","2023-02-14T18:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","175,1,N,0075,1","99999,9,9,9","999999,9,9,9","+0001,1","-0009,1","09917,1",,,"99999,9,09901,1","8,1,062,1,+999,9","0103,1","3,99,9999,9,999","SYN004BUFR",
"01006099999","2023-02-14T19:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","182,1,N,0087,1","99999,9,9,9","999999,9,9,9","+0002,1","-0009,1","09900,1","120,M,+0003,1","120,N,+0001,1","99999,9,09885,1","7,1,052,1,+999,9","0101,1","9,99,0089,1,999","SYN004BUFR",
"01006099999","2023-02-15T11:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","285,1,N,0054,1","99999,9,9,9","999999,9,9,9","-0027,1","-0050,1","09894,1","120,M,-0011,1","120,N,-0028,1","99999,9,09878,1","2,1,019,1,+999,9","0112,1","9,99,0103,1,999","SYN004BUFR",
"01006099999","2023-02-15T21:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","310,1,N,0011,1","99999,9,9,9","999999,9,9,9","-0049,1","-0055,1","09928,1",,,"99999,9,09912,1",,,"3,99,9999,9,999","SYN004BUFR","Q014     3APCTENQ02.1    3APC3  "
"01006099999","2023-02-16T22:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","146,1,N,0040,1","99999,9,9,9","999999,9,9,9","-0072,1","-0080,1","09764,1",,,"99999,9,09748,1","7,1,012,1,+999,9",,"9,99,0042,1,999","SYN004BUFR",
"01006099999","2023-02-17T00:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","178,1,N,0034,1","99999,9,9,9","999999,9,9,9","-0065,1","-0082,1","09750,1",,,"99999,9,09734,1","7,1,018,1,+999,9","0073,1","3,99,9999,9,999","SYN004BUFR",
"01006099999","2023-02-17T23:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","244,1,N,0111,1","99999,9,9,9","999999,9,9,9","-0074,1","-0104,1","09831,1",,,"99999,9,09815,1","2,1,030,1,+999,9","0124,1","9,99,0115,1,999","SYN004BUFR",
"01006099999","2023-02-19T20:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","352,1,N,0052,1","99999,9,9,9","999999,9,9,9","-0115,1","-0152,1","10068,1",,,"99999,9,10052,1","2,1,011,1,+999,9","0075,1","9,99,0067,1,999","SYN004BUFR",
"01006099999","2023-02-20T00:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","290,1,N,0014,1","99999,9,9,9","999999,9,9,9","-0137,1","-0158,1","10081,1",,,"99999,9,10065,1","2,1,011,1,+999,9",,"3,99,9999,9,999","SYN004BUFR",
"01006099999","2023-02-21T23:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","202,1,N,0126,1","99999,9,9,9","999999,9,9,9","-0045,1","-0073,1","10107,1",,,"99999,9,10091,1","6,1,012,1,+999,9","0149,1","9,99,0143,1,999","SYN004BUFR",
"01006099999","2023-02-22T22:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","154,1,N,0068,1","99999,9,9,9","999999,9,9,9","-0032,1","-0047,1","10027,1",,,"99999,9,10011,1","7,1,025,1,+999,9","0080,1","9,99,0075,1,999","SYN004BUFR",
"01006099999","2023-02-23T00:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","146,1,N,0072,1","99999,9,9,9","999999,9,9,9","-0030,1","-0039,1","10004,1",,,"99999,9,09988,1","6,1,029,1,+999,9","0086,1","3,99,9999,9,999","SYN004BUFR",
"01006099999","2023-02-25T20:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","188,1,N,0128,1","99999,9,9,9","999999,9,9,9","-0017,1","-0034,1","09913,1",,,"99999,9,09898,1","6,1,044,1,+999,9","0161,1","9,99,0143,1,999","SYN004BUFR",
"01006099999","2023-02-26T00:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","191,1,N,0122,1","99999,9,9,9","999999,9,9,9","-0010,1","-0023,1","09853,1",,,"99999,9,09838,1","7,1,057,1,+999,9","0165,1","3,99,9999,9,999","SYN004BUFR",
"01006099999","2023-02-28T20:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","329,1,N,0047,1","99999,9,9,9","999999,9,9,9","-0090,1","-0115,1","10112,1",,,"99999,9,10096,1","1,1,008,1,+999,9","0057,1","9,99,0052,1,999","SYN004BUFR",
"01006099999","2023-03-01T00:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","229,1,N,0048,1","99999,9,9,9","999999,9,9,9","-0130,1","-0157,1","10108,1",,,"99999,9,10092,1","6,1,005,1,+999,9","0066,1","3,99,9999,9,999","SYN004BUFR",
"01006099999","2023-03-01T12:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","160,1,N,0077,1","99999,9,9,9","999999,9,9,9","-0067,1","-0084,1","10005,1","120,M,-0067,1","120,N,-0074,1","99999,9,09989,1","7,1,027,1,+999,9","0089,1","9,99,0098,1,999","SYN004BUFR",
"01006099999","2023-03-03T20:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","006,1,N,0120,1","99999,9,9,9","999999,9,9,9","-0170,1","-0210,1","10165,1",,,"99999,9,10149,1","2,1,016,1,+999,9","0149,1","9,99,0122,1,999","SYN004BUFR",
"01006099999","2023-03-04T00:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","009,1,N,0096,1","99999,9,9,9","999999,9,9,9","-0169,1","-0209,1","10184,1",,,"99999,9,10167,1","3,1,010,1,+999,9","0141,1","3,99,9999,9,999","SYN004BUFR",
"01006099999","2023-03-05T21:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","065,1,N,0031,1","99999,9,9,9","999999,9,9,9","-0204,1","-0230,1","10200,1",,,"99999,9,10183,1","2,1,015,1,+999,9",,"3,99,9999,9,999","SYN004BUFR",
"01006099999","2023-03-07T22:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","316,1,N,0095,1","99999,9,9,9","999999,9,9,9","-0142,1","-0167,1","10118,1",,,"99999,9,10101,1","7,1,054,1,+999,9","0135,1","9,99,0122,1,999","SYN004BUFR",
"01006099999","2023-03-09T20:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","054,1,N,0058,1","99999,9,9,9","999999,9,9,9","-0129,1","-0149,1","09862,1",,,"99999,9,09846,1","8,1,004,1,+999,9","0197,1","9,99,0167,1,999","SYN004BUFR",
"01006099999","2023-03-12T20:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","053,1,N,0085,1","99999,9,9,9","999999,9,9,9","-0097,1","-0119,1","10050,1",,,"99999,9,10033,1","2,1,003,1,+999,9","0098,1","9,99,0085,1,999","SYN004BUFR",
"01006099999","2023-03-13T20:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","056,1,N,0078,1","99999,9,9,9","999999,9,9,9","-0132,1","-0160,1","10087,1",,,"99999,9,10071,1","4,1,000,1,+999,9","0093,1","9,99,0079,1,999","SYN004BUFR",
"01006099999","2023-03-14T20:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","008,1,N,0081,1","99999,9,9,9","999999,9,9,9","-0184,1","-0223,1","10094,1",,,"99999,9,10077,1","2,1,004,1,+999,9","0099,1","9,99,0085,1,999","SYN004BUFR",
"01006099999","2023-03-14T23:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","007,1,N,0063,1","99999,9,9,9","999999,9,9,9","-0189,1","-0224,1","10098,1",,,"99999,9,10081,1","2,1,004,1,+999,9","0080,1","9,99,0074,1,999","SYN004BUFR",
"01006099999","2023-03-15T20:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","243,1,N,0034,1","99999,9,9,9","999999,9,9,9","-0220,1","-0245,1","10143,1",,,"99999,9,10125,1","2,1,007,1,+999,9",,"9,99,0035,1,999","SYN004BUFR",
"01006099999","2023-03-16T20:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","259,1,N,0036,1","99999,9,9,9","999999,9,9,9","-0234,1","-0265,1","10201,1",,,"99999,9,10183,1","2,1,006,1,+999,9","0056,1","9,99,0053,1,999","SYN004BUFR",
"01006099999","2023-03-17T21:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","347,1,N,0009,1","99999,9,9,9","999999,9,9,9","-0159,1","-0188,1","10153,1",,,"99999,9,10136,1","7,1,008,1,+999,9","0068,1","3,99,9999,9,999","SYN004BUFR",
"01006099999","2023-03-19T06:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","028,1,N,0022,1","99999,9,9,9","999999,9,9,9","-0198,1","-0221,1","10089,1",,,"99999,9,10072,1",,,"9,99,0040,1,999","SYN004BUFR","Q014     3APCTENQ02.2    3APC3  "
"01006099999","2023-03-20T18:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","350,1,N,0051,1","99999,9,9,9","999999,9,9,9","-0252,1","-0294,1","10040,1",,,"99999,9,10023,1","3,1,013,1,+999,9","0078,1","3,99,9999,9,999","SYN004BUFR",
"01006099999","2023-03-24T13:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","358,1,N,0083,1","99999,9,9,9","999999,9,9,9","-0174,1","-0198,1","10052,1","120,M,-0173,1","120,N,-0177,1","99999,9,10035,1","2,1,014,1,+999,9","0116,1","9,99,0097,1,999","SYN004BUFR",
"01006099999","2023-03-24T20:00:00","4","78.25","22.8166666","14.0","EDGEOYA, NO","FM-12","99999","V020","005,1,N,0089,1","99999,9,9,9","999999,9,9,9","-0172,1","-0198,1","10076,1",,,"99999,9,10059,1","2,1,010,1,+999,9","0105,1","9,99,0093,1,999","SYN004BUFR",
