"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"01001499999","2023-01-03T08:20:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","130,1,N,0051,1","01372,1,C,N","009999,1,9,9","+0010,1","+0010,1","99999,9","02,1,+00396,1,99,9","04,1,+01372,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00396,1,99,9,99,9","10170,1,99999,9",,,,"MET058METAR ENSO 030820Z 13010KT 9999 FEW013 SCT045 01/01 Q1017=",
"01001499999","2023-01-03T08:50:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","110,1,N,0057,1","01219,1,C,N","009999,1,9,9","+0010,1","+0010,1","99999,9","02,1,+00305,1,99,9","04,1,+01219,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00305,1,99,9,99,9","10170,1,99999,9",,,,"MET058METAR ENSO 030850Z 11011KT 9999 FEW010 SCT040 01/01 Q1017=",
"01001499999","2023-01-03T09:20:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","110,1,N,0057,1","00914,1,C,N","009999,1,9,9","+0020,1","+0010,1","99999,9","02,1,+00396,1,99,9","04,1,+00914,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00396,1,99,9,99,9","10170,1,99999,9",,,,"MET058METAR ENSO 030920Z 11011KT 9999 FEW013 SCT030 02/01 Q1017=",
"01001499999","2023-01-03T09:50:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","110,1,N,0062,1","00762,1,C,N","009999,1,9,9","+0020,1","+0010,1","99999,9","02,1,+00366,1,99,9","04,1,+00762,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00366,1,99,9,99,9","10170,1,99999,9",,,,"MET058METAR ENSO 030950Z 11012KT 9999 FEW012 SCT025 02/01 Q1017=",
"01001499999","2023-01-03T10:20:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","110,1,N,0051,1","01219,1,C,N","009999,1,9,9","+0020,1","+0020,1","99999,9","02,1,+00366,1,99,9","04,1,+01219,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00366,1,99,9,99,9","10170,1,99999,9",,,,"MET058METAR ENSO 031020Z 11010KT 9999 FEW012 SCT040 02/02 Q1017=",
"01001499999","2023-01-03T10:50:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","110,1,N,0051,1","99999,9,9,N","009999,1,9,9","+0020,1","+0010,1","99999,9","02,1,+00366,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00366,1,99,9,99,9","10170,1,99999,9",,,,"MET051METAR ENSO 031050Z 11010KT 9999 FEW012 02/01 Q1017=",
"01001499999","2023-01-03T11:20:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","120,1,N,0057,1","99999,9,9,N","009999,1,9,9","+0020,1","+0010,1","99999,9","02,1,+00366,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00366,1,99,9,99,9","10170,1,99999,9",,,,"MET051METAR ENSO 031120Z 12011KT 9999 FEW012 02/01 Q1017=",
"01001499999","2023-01-03T11:50:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","120,1,N,0072,1","00762,1,C,N","009999,1,9,9","+0030,1","+0020,1","99999,9","02,1,+00396,1,99,9","04,1,+00762,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00396,1,99,9,99,9","10170,1,99999,9",,,,"MET058METAR ENSO 031150Z 12014KT 9999 FEW013 SCT025 03/02 Q1017=",
"01001499999","2023-01-03T12:20:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","120,1,N,0067,1","00762,1,C,N","009999,1,9,9","+0030,1","+0020,1","99999,9","02,1,+00427,1,99,9","04,1,+00762,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00427,1,99,9,99,9","10170,1,99999,9",,,,"MET058METAR ENSO 031220Z 12013KT 9999 FEW014 SCT025 03/02 Q1017=",
"01001499999","2023-01-03T12:50:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","100,1,N,0077,1","99999,9,9,N","009999,1,9,9","+0030,1","+0010,1","99999,9","04,1,+00457,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00457,1,99,9,99,9","10170,1,99999,9",,,,"MET051METAR ENSO 031250Z 10015KT 9999 SCT015 03/01 Q1017=",
"01001499999","2023-01-03T13:20:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","110,1,N,0067,1","00488,1,C,N","009999,1,9,9","+0030,1","+0020,1","99999,9","02,1,+00427,1,99,9","04,1,+00488,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00427,1,99,9,99,9","10170,1,99999,9",,,,"MET058METAR ENSO 031320Z 11013KT 9999 FEW014 SCT016 03/02 Q1017=",
"01001499999","2023-01-03T13:50:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","100,1,N,0067,1","00457,1,C,N","009999,1,9,9","+0030,1","+0010,1","99999,9","07,1,+00457,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00457,1,99,9,99,9","10160,1,99999,9",,,,"MET051METAR ENSO 031350Z 10013KT 9999 BKN015 03/01 Q1016=",
"01001499999","2023-01-03T14:20:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","110,1,N,0067,1","00457,1,C,N","009999,1,9,9","+0030,1","+0020,1","99999,9","07,1,+00457,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00457,1,99,9,99,9","10160,1,99999,9","16,1",,,"MET056METAR ENSO 031420Z 11013KT 9999 VCSH BKN015 03/02 Q1016=",
"01001499999","2023-01-03T14:50:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","110,1,N,0062,1","01372,1,C,N","009999,1,9,9","+0030,1","+0020,1","99999,9","02,1,+00457,1,99,9","04,1,+01372,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00457,1,99,9,99,9","10160,1,99999,9",,,,"MET058METAR ENSO 031450Z 11012KT 9999 FEW015 SCT045 03/02 Q1016=",
"01001499999","2023-01-03T15:20:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","120,1,N,0067,1","01372,1,C,N","009999,1,9,9","+0030,1","+0030,1","99999,9","02,1,+00427,1,99,9","04,1,+01372,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00427,1,99,9,99,9","10160,1,99999,9",,,,"MET058METAR ENSO 031520Z 12013KT 9999 FEW014 SCT045 03/03 Q1016=",
"01001499999","2023-01-03T15:50:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","120,1,N,0067,1","01372,1,C,N","009999,1,9,9","+0030,1","+0030,1","99999,9","02,1,+00427,1,99,9","04,1,+01372,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00427,1,99,9,99,9","10150,1,99999,9",,,,"MET058METAR ENSO 031550Z 12013KT 9999 FEW014 SCT045 03/03 Q1015=",
"01001499999","2023-01-03T16:20:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","120,1,N,0077,1","01280,1,C,N","009999,1,9,9","+0030,1","+0020,1","99999,9","02,1,+00427,1,99,9","04,1,+01280,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00427,1,99,9,99,9","10150,1,99999,9",,,,"MET058METAR ENSO 031620Z 12015KT 9999 FEW014 SCT042 03/02 Q1015=",
"01001499999","2023-01-03T16:50:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","120,1,N,0077,1","01280,1,C,N","009999,1,9,9","+0040,1","+0020,1","99999,9","02,1,+00427,1,99,9","04,1,+01280,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00427,1,99,9,99,9","10150,1,99999,9",,,,"MET058METAR ENSO 031650Z 12015KT 9999 FEW014 SCT042 04/02 Q1015=",
"01001499999","2023-01-03T17:20:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","120,1,N,0077,1","01219,1,C,N","009999,1,9,9","+0040,1","+0020,1","99999,9","02,1,+00457,1,99,9","04,1,+01219,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00457,1,99,9,99,9","10140,1,99999,9",,,,"MET058METAR ENSO 031720Z 12015KT 9999 FEW015 SCT040 04/02 Q1014=",
"01001499999","2023-01-04T06:50:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","110,1,N,0134,1","00549,1,9,N","009000,1,9,9","+0040,1","+0020,1","99999,9","04,1,+00366,1,99,9","07,1,+00549,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00366,1,99,9,99,9","09950,1,99999,9","61,1",,"0196,1","MET065METAR ENSO 040650Z 11026G38KT 9000 -RA SCT012 BKN018 04/02 Q0995=",
"01001499999","2023-01-04T07:20:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","110,1,N,0170,1","00396,1,C,N","006000,1,9,9","+0030,1","+0030,1","99999,9","02,1,+00152,1,99,9","04,1,+00396,1,99,9","07,1,+00488,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00152,1,99,9,99,9","09940,1,99999,9","63,1",,"0237,1","MET071METAR ENSO 040720Z 11033G46KT 6000 RA FEW005 SCT013 BKN016 03/03 Q0994=",
"01001499999","2023-01-04T07:50:00","4","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","99999","V020","100,1,N,0165,1","00488,1,9,N","006000,1,9,9","+0030,1","+0030,1","99999,9","04,1,+00335,1,99,9","07,1,+00488,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00335,1,99,9,99,9","09930,1,99999,9","63,1",,"0237,1","MET064METAR ENSO 040750Z 10032G46KT 6000 RA SCT011 BKN016 03/03 Q0993=",
